Id,Condition,Sex,Centroid.Size,Log.Centroid.Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,Raw_X1,Raw_Y1,Raw_X2,Raw_Y2,Raw_X3,Raw_Y3,Raw_X4,Raw_Y4,Raw_X5,Raw_Y5,Raw_X6,Raw_Y6,Raw_X7,Raw_Y7,Raw_X8,Raw_Y8,Raw_X9,Raw_Y9,Raw_X10,Raw_Y10,Raw_X11,Raw_Y11,Raw_X12,Raw_Y12,Raw_X13,Raw_Y13,Raw_X14,Raw_Y14,Raw_X15,Raw_Y15
S_041M-WING,standard,M,2.384607265,0.8690344422,-0.2476508272,0.07322177553,-0.2428659709,0.02841941312,-0.2654857889,-0.009968268656,-0.2078333209,-0.0608241056,-0.1919195146,-0.04130114047,-0.1597415348,0.0275065273,-0.1317680992,0.09924986884,-0.06613648638,0.0201190686,-0.06748550173,-0.005402847037,0.07789898589,-0.03204897586,0.0694545221,-0.0949115476,0.3163904663,0.1628324641,0.47500809,0.0494474629,0.4573638929,-0.02929500222,0.1847710874,-0.187044693,0.58107,1.45462,0.6223,1.35541,0.59653,1.25234,0.76274,1.17503,0.78593,1.23043,0.81299,1.40952,0.82845,1.59248,1.03202,1.45591,1.04619,1.39664,1.39664,1.434,1.41983,1.28455,1.81022,2.04085,2.24957,1.88882,2.26246,1.69684,1.7458,1.15184
S_043M-WING,standard,M,2.384694622,0.8690710749,-0.2470187139,0.07385588622,-0.239806361,0.02777229552,-0.2628223796,-0.007532765116,-0.2087779504,-0.06093614985,-0.1940016097,-0.04040177773,-0.1623069477,0.02631444167,-0.1326206551,0.09885262361,-0.06618325665,0.02054689724,-0.067872484,-0.00479689775,0.07569308775,-0.03316023349,0.07021821494,-0.09900902696,0.3226201717,0.1638851592,0.4715205314,0.05285092012,0.4548223261,-0.02914714054,0.186536026,-0.1890942321,0.78851,1.85661,0.889,1.90428,0.92766,1.99704,1.10546,1.96226,1.08484,1.90557,0.99594,1.75353,0.89287,1.59763,1.13638,1.57187,1.18405,1.60923,1.43272,1.36443,1.55512,1.46364,1.37603,0.61328,1.79476,0.46898,1.93391,0.61199,1.88882,1.35541
S_007M-WING,standard,M,2.391924005,0.8720980653,-0.2468258888,0.0720616813,-0.2423983906,0.02697296746,-0.2631553691,-0.01074896068,-0.2065653177,-0.06346338954,-0.1914260892,-0.04274500831,-0.1657546633,0.02597442384,-0.1327081703,0.09829647777,-0.05867984973,0.02056925478,-0.06496852796,-0.004561013219,0.06842644114,-0.02914061455,0.06411144281,-0.0935460672,0.3295127214,0.1636073601,0.47433465,0.05114417732,0.4557417497,-0.02962464639,0.1803552618,-0.1847966426,1.97901,1.43916,1.97385,1.33093,2.02796,1.24332,1.89912,1.11061,1.86047,1.15828,1.7909,1.31934,1.70328,1.48812,1.53579,1.29357,1.55383,1.2343,1.23816,1.15957,1.2562,1.00625,0.59138,1.58861,0.25897,1.30259,0.31308,1.1119,0.9895,0.77433
S_006M-WING,standard,M,2.402418191,0.8764758097,-0.2476733835,0.07259465656,-0.2445753085,0.02609774214,-0.2611891993,-0.009803854716,-0.207565188,-0.06154321622,-0.1920307162,-0.04155371749,-0.1669948118,0.02570877076,-0.1339902685,0.09633734693,-0.05841191076,0.02014064942,-0.06269508493,-0.006145513371,0.07382614343,-0.03169219787,0.06515911191,-0.09377511888,0.3303056528,0.1633435826,0.474592758,0.0530450802,0.455105214,-0.02992805833,0.1761369914,-0.1828261517,2.21479,1.68653,2.23798,1.57702,2.29982,1.50487,2.20963,1.35026,2.16067,1.38633,2.05889,1.52548,1.93649,1.66721,1.81151,1.44173,1.83857,1.38376,1.53965,1.23559,1.60021,1.09773,0.81943,1.51904,0.55788,1.16988,0.65709,0.99079,1.40179,0.81943
S_029M-WING,standard,M,2.406125288,0.8780176894,-0.2514861146,0.07388899227,-0.2452443555,0.02886580176,-0.2686625445,-0.01122055705,-0.2065103154,-0.06198145255,-0.1929139569,-0.04211843077,-0.1662482999,0.02748377738,-0.1344134837,0.1002497579,-0.05774181488,0.02285592984,-0.05840643883,-0.005078844044,0.08184355596,-0.0289152477,0.07452959363,-0.09821422338,0.3125678573,0.1607022507,0.4751538026,0.04886044735,0.4545619174,-0.03212342342,0.1829705974,-0.1832547783,0.44063,1.31676,0.48057,1.21497,0.44836,1.10803,0.6223,1.02429,0.64292,1.0784,0.66611,1.2562,0.69961,1.44431,0.9225,1.30645,0.93667,1.24074,1.27811,1.26393,1.30001,1.09773,1.71101,1.83728,2.15423,1.66721,2.15165,1.46621,1.6015,0.95987
H_089F-WING,hypoxia,F,2.407139578,0.8784391454,-0.2453233255,0.06942375225,-0.2407143217,0.02792723338,-0.2573218138,-0.007548499151,-0.2086651403,-0.05605995004,-0.19486432,-0.03820287226,-0.1654939431,0.02683902077,-0.137047106,0.0948685025,-0.06647000351,0.0210174999,-0.0702793964,-0.005767864076,0.08148094288,-0.03140800269,0.07120065907,-0.09841351587,0.31238118,0.1626284328,0.4781515,0.0497132897,0.4613825398,-0.03018391998,0.1815825484,-0.1848331072,0.6321,1.06167,0.70692,0.99459,0.73401,0.90429,0.89913,0.89526,0.89526,0.94944,0.84366,1.11327,0.78561,1.28098,1.03071,1.26163,1.06683,1.20745,1.38031,1.40482,1.46932,1.26808,1.48351,2.12335,1.9621,2.18656,2.06014,2.01628,1.80601,1.29001
C_068M-WING,cold,M,2.42040497,0.8839348691,-0.2432903249,0.06505311091,-0.2365070894,0.02353696838,-0.2526867746,-0.0119068175,-0.2030405451,-0.05758577749,-0.1929337637,-0.03765694468,-0.1663378792,0.02585962668,-0.1332900784,0.09643225652,-0.07170738246,0.02267870546,-0.07643869411,-0.003779652287,0.06894927539,-0.02870672891,0.06106011552,-0.09019299191,0.3252762758,0.1706454791,0.4794330011,0.05281465407,0.4600111259,-0.03830593042,0.1815027381,-0.1888859579,0.86972,0.67817,0.96937,0.65746,1.03538,0.59016,1.18163,0.66264,1.14539,0.70276,1.02502,0.81795,0.89431,0.95384,1.11433,1.02891,1.16998,0.99526,1.35246,1.30199,1.48448,1.23081,1.12468,2.05394,1.5246,2.29984,1.71355,2.17689,1.81192,1.41718
S_050M-WING,standard,M,2.424229458,0.8855137247,-0.2475960605,0.07313228777,-0.241219489,0.02772443621,-0.2624669933,-0.01017274266,-0.2071038868,-0.06122660924,-0.1932321502,-0.04106359798,-0.1646857349,0.02594517317,-0.1305965256,0.09942262054,-0.06360636437,0.01963725264,-0.06983525904,-0.006287112668,0.07934712001,-0.03354404375,0.06760921909,-0.09591669492,0.3265645258,0.1654887564,0.4741599135,0.05223395351,0.4529114931,-0.02892958127,0.1797501924,-0.1864440977,1.10932,1.92747,1.03073,1.84887,0.92637,1.8347,0.90833,1.65304,0.9676,1.65561,1.13896,1.69813,1.33093,1.73936,1.27424,1.49327,1.21497,1.4675,1.37989,1.13896,1.24203,1.07067,2.12588,0.95085,2.12202,0.4999,1.93391,0.4226,1.23043,0.72151
S_011F-WING,standard,F,2.451119375,0.8965448079,-0.2513003799,0.0740364337,-0.2419650988,0.0257121127,-0.2673758795,-0.01153230587,-0.2107483728,-0.06152328861,-0.1961922503,-0.04272521522,-0.1597707957,0.0276887109,-0.1352536255,0.1023389361,-0.05423064828,0.02226781405,-0.05919764169,-0.005393775323,0.07857450075,-0.03073248348,0.06973001933,-0.09663719326,0.3216353827,0.1601043949,0.4708614956,0.05265688437,0.4549837822,-0.0287106389,0.1802495119,-0.1875503861,0.39039,1.69426,0.41873,1.57702,0.36075,1.48296,0.50505,1.36701,0.53855,1.41468,0.61972,1.59119,0.67126,1.77672,0.8787,1.5899,0.86968,1.52162,1.20982,1.47523,1.19565,1.31289,1.78317,1.96999,2.16067,1.7239,2.13104,1.52291,1.47652,1.10288
C_001F-WING,cold,F,2.47154439,0.9048432143,-0.2460327312,0.06793263796,-0.2411230072,0.0224596689,-0.2622777437,-0.01186032156,-0.2071504019,-0.05670935768,-0.1963144116,-0.03747318942,-0.1680379487,0.02446487531,-0.1320998791,0.09283541537,-0.06512834847,0.02012266589,-0.06745118451,-0.002810435525,0.07224800627,-0.02544183319,0.0623494563,-0.083855731,0.3183901344,0.1587977975,0.480305109,0.04737095925,0.458736141,-0.03703294431,0.1935868093,-0.1788002076,1.17774,2.07594,1.28775,2.05005,1.37835,2.09147,1.47153,1.94263,1.42106,1.92192,1.26057,1.87145,1.08197,1.80415,1.23987,1.61778,1.29681,1.61649,1.30975,1.26704,1.456,1.27352,0.783,0.71959,1.00691,0.28861,1.22045,0.31579,1.64884,0.92278
