disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_12.oif,77.064,1723.096,140990.992,cold,8.701,7.327797943
MAX_17C_14dec_12.oif,78.307,1720.658,140990.992,cold,9.944,8.37462622
MAX_17C_14dec_12.oif,79.55,1670.619,140990.992,cold,11.187,9.421454498
MAX_17C_14dec_12.oif,80.793,1667.814,140990.992,cold,12.43,10.46828278
MAX_17C_14dec_12.oif,82.036,1673.682,140990.992,cold,13.673,11.51511105
MAX_17C_14dec_12.oif,83.279,1678.794,140990.992,cold,14.916,12.56193933
MAX_17C_14dec_12.oif,84.522,1636.841,140990.992,cold,16.159,13.60876761
MAX_17C_14dec_12.oif,85.765,1643.605,140990.992,cold,17.402,14.65559589
MAX_17C_14dec_12.oif,87.008,1618.363,140990.992,cold,18.645,15.70242416
MAX_17C_14dec_12.oif,88.251,1636.427,140990.992,cold,19.888,16.74925244
MAX_17C_14dec_12.oif,89.494,1631.478,140990.992,cold,21.131,17.79608072
MAX_17C_14dec_12.oif,90.737,1604.482,140990.992,cold,22.374,18.842909
MAX_17C_14dec_12.oif,91.98,1611.155,140990.992,cold,23.617,19.88973727
MAX_17C_14dec_12.oif,93.223,1588.376,140990.992,cold,24.86,20.93656555
MAX_17C_14dec_12.oif,94.466,1589.874,140990.992,cold,26.103,21.98339383
MAX_17C_14dec_12.oif,95.709,1578.868,140990.992,cold,27.346,23.03022211
MAX_17C_14dec_12.oif,96.952,1543.444,140990.992,cold,28.589,24.07705038
MAX_17C_14dec_12.oif,98.195,1552.935,140990.992,cold,29.832,25.12387866
MAX_17C_14dec_12.oif,99.438,1587.966,140990.992,cold,31.075,26.17070694
MAX_17C_14dec_12.oif,100.68,1604.756,140990.992,cold,32.317,27.21669304
MAX_17C_14dec_12.oif,101.923,1613.993,140990.992,cold,33.56,28.26352131
MAX_17C_14dec_12.oif,103.166,1599.837,140990.992,cold,34.803,29.31034959
MAX_17C_14dec_12.oif,104.409,1552.484,140990.992,cold,36.046,30.35717787
MAX_17C_14dec_12.oif,105.652,1546.759,140990.992,cold,37.289,31.40400615
MAX_17C_14dec_12.oif,106.895,1571.859,140990.992,cold,38.532,32.45083442
MAX_17C_14dec_12.oif,108.138,1553.883,140990.992,cold,39.775,33.4976627
MAX_17C_14dec_12.oif,109.381,1544.222,140990.992,cold,41.018,34.54449098
MAX_17C_14dec_12.oif,110.624,1552.84,140990.992,cold,42.261,35.59131926
MAX_17C_14dec_12.oif,111.867,1546.468,140990.992,cold,43.504,36.63814753
MAX_17C_14dec_12.oif,113.11,1552.063,140990.992,cold,44.747,37.68497581
MAX_17C_14dec_12.oif,114.353,1545.758,140990.992,cold,45.99,38.73180409
MAX_17C_14dec_12.oif,115.596,1592.171,140990.992,cold,47.233,39.77863237
MAX_17C_14dec_12.oif,116.839,1553.354,140990.992,cold,48.476,40.82546064
MAX_17C_14dec_12.oif,118.082,1584.769,140990.992,cold,49.719,41.87228892
MAX_17C_14dec_12.oif,119.325,1569.212,140990.992,cold,50.962,42.9191172
MAX_17C_14dec_12.oif,120.568,1580.979,140990.992,cold,52.205,43.96594548
MAX_17C_14dec_12.oif,121.811,1591.939,140990.992,cold,53.448,45.01277375
